sentence_lemma	sentence_token	target_index	original_word
werden d Gießen nicht versäumen und d Gießwasser alle zwei Woche eine Dünger beimischen $ 2 G je Liter Wasser $ $ so entwickeln sich d Gewächs bald stattlich $	Wird das Gießen nicht versäumt und dem Gießwasser alle zwei Wochen ein Dünger beigemischt ( 2 g je Liter Wasser ) , so entwickeln sich die Gewächse bald stattlich .	13	beimischen
neu Musik werden meist nur vorsichtig dosieren d klassisclien Kost beimischen $ Konzertfolge allein mit Komposition von Zeitgenosse besitzen Seltenheitswert $	Neuere Musik wird meist nur vorsichtig dosiert der klassisclien Kost beigemischt , Konzertfolgen allein mit Kompositionen von Zeitgenossen besitzen Seltenheitswert .	10	beimischen
manche Kilogramm Milch können wir mehr erzeugen $ wenn wir heute d Spreu d Rübe beimischen können $	Manches Kilogramm Milch könnten wir mehr erzeugen , wenn wir heute die Spreu den Rüben beimischen könnten .	15	beimischen
in Düsseldorf sollen auf Verlangen d Förderungsgemeinechaft d Kartoffelwirtschaft kartoffel- und Gerstenmehl d Brotteig $ bei unverändert erhöht Brotpreis beimischen werden $	In Düsseldorf soll auf Verlangen der Förderungsgemeinechaft der Kartoffelwirtschaft Kartoffel- und Gerstenmehl dem Brotteig — bei unverändert erhöhtem Brotpreis beigemischt werden .	19	beimischen
aber d Freude d Rivale über diese eventuell Vorteil sein eine tief Sorge vor d $ Infektion $ beimischen $ davor $ daß $ d hamburger $ Welt $ vom 30. 5. zufolge $ $ d französisch Krankheit über d Grenze in ander Land tragen werden $ $	Aber der Freude der Rivalen über diese eventuellen Vorteile ist eine tiefe Sorge vor der „ Infektion " beigemischt — davor , daß ( der Hamburger „ Welt " vom 30. 5. zufolge ) „ die französische Krankheit über die Grenzen in andere Länder getragen wird " .	18	beimischen
so sein beispielsweise planen $ d Wasser flüssig Ammoniak beimischen $	So ist beispielsweise geplant , dem Wasser flüssigen Ammoniak beizumischen .	9	beimischen
d normal Dividierung d einst unteilbar Ischulklasse werden keine Verklärung oder rasch Tröstung beimischen daß mit d Erwachsenwerden $ d eigen Hausstand $ d neuerlich dick Bauch d eben noch klein Zopfmädchen auch eine Art Abnabelung von Filmteam einsetzen haben $ überbrücken sie nicht mit jovial Annäherungsversuch $	Der normalen Dividierung der einst unteilbaren iSchulklasse wird keine Verklärung oder rasche Tröstung beigemischt Daß mit dem Erwachsenwerden , dem eigenen Hausstand , dem neuerlich dicken Bauch der eben noch kleinen Zopfmädchen auch eine Art Abnabelung von Filmteam eingesetzt hat , überbrücken sie nicht mit jovialen Annäherungsversuchen .	13	beimischen
bei diese Staubbindeverfahren $ werden d Pulver mikroskopisch fein Faser aus ungesintert Polytetrafluoräthylen beimischen $	Bei diesem Staubbindeverfahren • werden dem Pulver mikroskopisch feine Fasern aus ungesintertem Polytetrafluoräthylen beigemischt .	13	beimischen
besondere Substanz $ die beimischen werden $ tragen dazu bei $ vorhanden Enzym auslösen bzw. ihr Nichtvorhandensein nachweisen $	Besondere Substanzen , die beigemischt werden , tragen dazu bei , vorhandene Enzyme auszulösen bzw. ihr Nichtvorhandensein nachzuweisen .	4	beimischen
es haben jedoch eine Filter $ und d Tabak sein eine Anteil Zigarettentabak beimischen $	Es hat jedoch einen Filter , und dem Tabak ist ein Anteil Zigarettentabak beigemischt .	13	beimischen
